state,district,year,month,bio_5_17,bio_17_plus
Odisha,Mayurbhanj,2025,3,124,268
Karnataka,Kalaburagi,2025,3,130,99
Kerala,Alappuzha,2025,3,30,51
Tamil Nadu,Coimbatore,2025,3,19,109
Assam,Barpeta,2025,3,1079,174
Bihar,Gaya,2025,3,51,90
Andhra Pradesh,Srikakulam,2025,3,161,75
Punjab,Gurdaspur,2025,3,102,148
Andhra Pradesh,Adilabad,2025,3,33,135
Karnataka,Bengaluru,2025,3,150,219
Telangana,Khammam,2025,3,112,137
Karnataka,Ballari,2025,3,51,27
Madhya Pradesh,Khandwa,2025,3,288,264
Tamil Nadu,Namakkal,2025,3,87,155
Haryana,Jhajjar,2025,3,94,125
Sikkim,South Sikkim,2025,3,44,16
Telangana,Karimnagar,2025,3,48,68
Assam,Karbi Anglong,2025,3,294,134
Karnataka,Bellary,2025,3,59,118
Himachal Pradesh,Kangra,2025,3,27,68
Tamil Nadu,Nagapattinam,2025,3,126,52
Andhra Pradesh,Rangareddi,2025,3,14,49
Gujarat,Vadodara,2025,3,29,88
Karnataka,Belagavi,2025,3,45,26
Karnataka,Gulbarga,2025,3,12,31
Andhra Pradesh,Hyderabad,2025,3,39,123
Tamil Nadu,Coimbatore,2025,3,61,44
Assam,Dibrugarh,2025,3,91,94
Orissa,Koraput,2025,3,18,47
Jharkhand,Ranchi,2025,3,579,1249
Maharashtra,Thane,2025,3,49,840
Madhya Pradesh,Barwani,2025,3,2166,4123
Uttar Pradesh,Jalaun,2025,3,241,122
Gujarat,Surat,2025,3,19,25
Bihar,Kishanganj,2025,3,1668,1226
Tamil Nadu,Thanjavur,2025,3,112,206
West Bengal,South 24 Parganas,2025,3,485,459
Puducherry,Puducherry,2025,3,29,39
Gujarat,Sabarkantha,2025,3,47,98
Andhra Pradesh,Warangal,2025,3,32,84
Karnataka,Tumkur,2025,3,28,91
Tamil Nadu,Nagapattinam,2025,3,68,65
Uttarakhand,Dehradun,2025,3,112,186
Gujarat,Tapi,2025,3,25,59
Manipur,Imphal West,2025,3,82,150
Maharashtra,Ratnagiri,2025,3,140,494
Gujarat,Ahmedabad,2025,3,88,220
Andhra Pradesh,Hyderabad,2025,3,35,178
Jharkhand,Koderma,2025,3,65,44
Tamil Nadu,Vellore,2025,3,35,55
Rajasthan,Dausa,2025,3,298,463
Arunachal Pradesh,Namsai,2025,3,51,80
Telangana,Suryapet,2025,3,13,31
Odisha,Koraput,2025,3,23,15
Andhra Pradesh,N. T. R,2025,3,15,18
Tamil Nadu,Erode,2025,3,17,38
Andhra Pradesh,Kakinada,2025,3,12,20
Tamil Nadu,Kanyakumari,2025,3,29,18
Karnataka,Chickmagalur,2025,3,11,25
Karnataka,Bangalore Rural,2025,3,58,103
Andhra Pradesh,Palnadu,2025,3,33,57
Tamil Nadu,Virudhunagar,2025,3,574,629
Tamil Nadu,Cuddalore,2025,3,112,131
West Bengal,Malda,2025,3,195,399
Tamil Nadu,Salem,2025,3,225,193
Tamil Nadu,Vellore,2025,3,94,103
Odisha,Nayagarh,2025,3,142,262
Karnataka,Hassan,2025,3,172,203
Assam,Kamrup,2025,3,124,90
Meghalaya,South West Garo Hills,2025,3,86,132
Delhi,South Delhi,2025,3,486,1041
West Bengal,South Twenty Four Parganas,2025,3,49,172
West Bengal,Murshidabad,2025,3,115,138
Chhattisgarh,Mahasamund,2025,3,46,170
Odisha,Khorda,2025,3,72,136
Karnataka,Chikkaballapur,2025,3,209,170
Kerala,Malappuram,2025,3,150,267
Tamil Nadu,Sivaganga,2025,3,325,294
