state,risk_percent
Kerala,57.36745899470899
Uttar Pradesh,56.56382442783315
Tamil Nadu,56.53922402597402
Bihar,53.85386594202898
Haryana,53.83845341614907
Madhya Pradesh,53.64668134920635
Rajasthan,51.45518915343916
Andhra Pradesh,49.72178941798941
Maharashtra,49.60513347069597
Chhattisgarh,49.213825297619046
Odisha,48.70760113960114
Jharkhand,48.616768999518996
Uttarakhand,48.32371428571428
Delhi,48.27321245421245
Punjab,48.206680335097005
Telangana,47.176238591269836
Karnataka,46.66828388278388
Gujarat,46.54639835164835
West Bengal,45.85911590992986
Tripura,45.21177380952381
Jammu And Kashmir,44.31199933862434
Assam,41.28917117117117
Himachal Pradesh,39.98165674603174
Dadra And Nagar Haveli,38.8875
Andaman And Nicobar Islands,38.66126984126984
Manipur,37.16486538461538
Goa,36.147083333333335
Lakshadweep,36.13142857142857
Ladakh,35.75942857142857
Mizoram,31.91263528138528
Nagaland,30.593179271708685
Puducherry,30.223958333333332
Daman & Diu,29.96875
Meghalaya,29.489086996336997
Chandigarh,29.298809523809524
Arunachal Pradesh,28.649965277777778
Sikkim,26.512057142857145
Daman And Diu,25.656
Dadra And Nagar Haveli And Daman And Diu,24.808555555555557
Dadra & Nagar Haveli,23.205
Orissa,22.882569312169313
Westbengal,21.915
Andaman & Nicobar Islands,21.4675
Pondicherry,21.413214285714286
West  Bengal,19.483333333333334
West Bangal,14.550833333333335
Jammu & Kashmir,11.779107142857143
Pune City,8.68
Madanapalle,8.68
Uttaranchal,8.68
Chhatisgarh,8.68
100000,8.68
